"Order Status &amp; Shipping Tracking", "Order Status &amp; Shipping Tracking"
"Check Order Status","Check Order Status"
"Tracking Information","Tracking Information"
"Make sure that you have entered the Order Number and phone number (or email address) correctly.","
Pastikan bahwa Anda telah memasukkan Nomor Order dan nomor telepon atau alamat email dengan benar."
"Shipping tracking data not found.","Shipping tracking data not found."
"UPS Tracking Number","UPS Tracking Number"
"FedEx Tracking Number","FedEx Tracking Number"
"USPS Tracking Number","USPS Tracking Number"
"Please enter the required information below to check your order status.","
Silahkan masukkan informasi yang diperlukan untuk melihat status pesanan Anda."
"Order Number","Nomor Pesanan"
"Phone number or email address","Nomor telepon atau alamat email"
"Track","Track"
"FedEx Tracking Number %s","FedEx Tracking Number %s"
"m/d/Y","m/d/Y"
"g:i a","g:i a"
"Tracking information is not available at this time. Please check back later or double-check the tracking number entered and try again.","Tracking information is not available at this time. Please check back later or double-check the tracking number entered and try again."
"Tracking number is not associated with any order at our store.","Tracking number is not associated with any order at our store."
"Location","Location"
"Date","Date"
"Time","Time"
"Status","Status"
"USPS Tracking Number %s","USPS Tracking Number %s"
"General Information","General Information"
"Guaranteed Delivery Date","Guaranteed Delivery Date"
"Shipment Progress","Shipment Progress"
"UPS Tracking Number %s","UPS Tracking Number %s"
"Signed For","Signed For"
"Additional Information","Additional Information"
"Shipped/Billed On:","Shipped/Billed On:"
"Type:","Type:"
"Package","Package"
"Postal Services", "Postal Services"
"Enter Tracking numbe","Enter Tracking number"
"Order Information","Informasi Pemesanan"
"Order Number","Nomor Pemesanan" 
"Required Fields","Fields harus diisi"